DATE,DESCRIPTION,ORIGINAL_DESCRIPTION,AMOUNT,TRANSACTION_TYPE,CATEGORY,ACCOUNT_NAME,LABELS,NOTES
8/11/2018,'Mbcr Cmt Rl','CHECKCARD 0524 SUPPAS PIZZA & SUBS LOWELL MA 24013394144001716597429',34.65,debit,Parking,Jason Wood,,
12/6/2018,'Zipcar','CHECKCARD 0523 MBCR CMT RL TKT 617-222-3200 MA 24445004144100207926270',46.53,credit,Coffee Shops,Melissa Nelson,,
8/1/2017,'Suppas Pizza Subs','CHECKCARD 0523 MBCR CMT RL TKT 617-222-3200 MA 24445004144100207926270',42.03,debit,Clothing,Diane Jackson,,
5/2/2015,'Macy's','MACY'S 310 05/25 #000809807 PURCHASE MACY'S 310 DAN NASHUA NH',19.2,credit,Rental Car & Taxi,Marc Carter,,
11/14/2016,'Indian Basket','Online Banking transfer from SAV 6666 Confirmation# 14152121894',40.07,debit,Rental Car & Taxi,Joe Robbins,,
11/22/2018,'Transfer from Regular Savings','CHECKCARD 0524 SUPPAS PIZZA & SUBS LOWELL MA 24013394144001716597429',41.19,debit,Clothing,Melanie Howard,,
7/27/2016,'Dunkin Donuts','CHECKCARD 0522 MBCR CMT RL TKT 617-222-3200 MA 24445004143100118611830',5.5,credit,Clothing,Rebecca Mann,,
6/9/2016,'Suppas Pizza Subs','CHECKCARD 0523 DUNKIN #306848 Q35 MEDFORD MA 24610434144072022257587',31.69,credit,Restaurants,Kim Thomas,,
7/30/2016,'Zipcar','Online Banking transfer from SAV 6666 Confirmation# 14152121894',2.83,debit,Clothing,Dennis Huff,,
6/11/2018,'Zipcar','Online Banking transfer from SAV 6666 Confirmation# 14152121894',5.79,credit,Coffee Shops,Adam Scott,,
10/18/2018,'Dunkin Donuts','CHECKCARD 0522 MBCR CMT RL TKT 617-222-3200 MA 24445004143100118611830',21.95,debit,Rental Car & Taxi,Aaron Jenkins,,
5/22/2016,'Macy's','CHECKCARD 0522 MBCR CMT RL TKT 617-222-3200 MA 24445004143100118611830',8.41,debit,Restaurants,Jamie Mcdaniel,,
8/24/2018,'Suppas Pizza Subs','CHECKCARD 0523 DUNKIN #306848 Q35 MEDFORD MA 24610434144072022257587',26.89,debit,Coffee Shops,Fernando Bowman,,
10/15/2018,'Zipcar','CHECKCARD 0524 ZIPCAR INC. 866-494-7227 MA 24231914324078',19.79,credit,Restaurants,Amanda Tran,,
3/26/2015,'Dunkin Donuts','CHECKCARD 0523 MBCR CMT RL TKT 617-222-3200 MA 24445004144100207926270',25.52,credit,Restaurants,Jeremy Jackson,,
10/12/2016,'Suppas Pizza Subs','CHECKCARD 0523 DUNKIN #306848 Q35 MEDFORD MA 24610434144072022257587',5.15,debit,Rental Car & Taxi,Stephanie Allison,,
9/22/2015,'Suppas Pizza Subs','MACY'S 310 05/25 #000809807 PURCHASE MACY'S 310 DAN NASHUA NH',32.9,debit,Transfer,Brian Johnson,,
3/23/2015,'Suppas Pizza Subs','Online Banking transfer from SAV 6666 Confirmation# 14152121894',24.95,debit,Rental Car & Taxi,Carrie Atkinson,,
3/6/2015,'Transfer from Regular Savings','CHECKCARD 0523 MBCR CMT RL TKT 617-222-3200 MA 24445004144100207926270',11.02,debit,Transfer,Kenneth Wolf,,
5/27/2015,'Macy's','CHECKCARD 0522 MBCR CMT RL TKT 617-222-3200 MA 24445004143100118611830',14.43,credit,Parking,Timothy Lopez,,
2/13/2018,'Mbcr Cmt Rl','Online Banking transfer from SAV 6666 Confirmation# 14152121894',10.16,credit,Restaurants,Adrienne Brown,,
5/10/2017,'Indian Basket','CHECKCARD 0523 MBCR CMT RL TKT 617-222-3200 MA 24445004144100207926270',25.15,credit,Coffee Shops,Priscilla Gross,,
4/24/2017,'Transfer from Regular Savings','CHECKCARD 0522 MBCR CMT RL TKT 617-222-3200 MA 24445004143100118611830',31.32,debit,Parking,Frank Brown,,
2/20/2017,'Dunkin Donuts','CHECKCARD 0524 ZIPCAR INC. 866-494-7227 MA 24231914324078',41.66,credit,Parking,Jacob Howell,,
1/13/2015,'Macy's','Online Banking transfer from SAV 6666 Confirmation# 14152121894',6.23,credit,Clothing,Scott Garcia,,
12/16/2017,'Suppas Pizza Subs','MACY'S 310 05/25 #000809807 PURCHASE MACY'S 310 DAN NASHUA NH',36.5,debit,Clothing,Amber Walters,,
5/6/2017,'Zipcar','CHECKCARD 0524 SUPPAS PIZZA & SUBS LOWELL MA 24013394144001716597429',14.22,debit,Rental Car & Taxi,Vicki Burns,,
2/7/2017,'Mbcr Cmt Rl','CHECKCARD 0523 DUNKIN #306848 Q35 MEDFORD MA 24610434144072022257587',26.71,debit,Clothing,Shannon Holden,,
8/9/2016,'Zipcar','CHECKCARD 0523 DUNKIN #306848 Q35 MEDFORD MA 24610434144072022257587',47.59,debit,Coffee Shops,Kevin Ashley,,
5/2/2015,'Transfer from Regular Savings','CHECKCARD 0524 ZIPCAR INC. 866-494-7227 MA 24231914324078',45.37,credit,Transfer,Anna Franco,,
5/27/2018,'Mbcr Cmt Rl','CHECKCARD 0522 MBCR CMT RL TKT 617-222-3200 MA 24445004143100118611830',48.05,debit,Parking,Duane Smith,,
2/24/2018,'Mbcr Cmt Rl','CHECKCARD 0523 MBCR CMT RL TKT 617-222-3200 MA 24445004144100207926270',12.49,credit,Restaurants,Stephanie Thompson,,
9/15/2016,'Dunkin Donuts','CHECKCARD 0524 ZIPCAR INC. 866-494-7227 MA 24231914324078',37.26,credit,Parking,Anna Foster,,
12/25/2016,'Mbcr Cmt Rl','CHECKCARD 0523 DUNKIN #306848 Q35 MEDFORD MA 24610434144072022257587',25.45,credit,Rental Car & Taxi,Randall Griffin,,
3/11/2018,'Mbcr Cmt Rl','Online Banking transfer from SAV 6666 Confirmation# 14152121894',25.99,credit,Rental Car & Taxi,John Wolf,,
3/8/2017,'Macy's','CHECKCARD 0522 MBCR CMT RL TKT 617-222-3200 MA 24445004143100118611830',43.17,debit,Coffee Shops,David Brown,,
4/25/2016,'Mbcr Cmt Rl','CHECKCARD 0525 INDIAN BASKET LOWELL MA 24733094145207718200078',29.06,credit,Coffee Shops,Taylor Hale,,
2/20/2016,'Mbcr Cmt Rl','CHECKCARD 0524 ZIPCAR INC. 866-494-7227 MA 24231914324078',28.32,debit,Rental Car & Taxi,Amy Marks,,
5/18/2017,'Mbcr Cmt Rl','Online Banking transfer from SAV 6666 Confirmation# 14152121894',40.99,debit,Parking,Cheryl Jones,,
5/19/2016,'Suppas Pizza Subs','CHECKCARD 0523 DUNKIN #306848 Q35 MEDFORD MA 24610434144072022257587',9.41,credit,Coffee Shops,Paul Bell,,
10/22/2018,'Suppas Pizza Subs','CHECKCARD 0523 MBCR CMT RL TKT 617-222-3200 MA 24445004144100207926270',11.57,debit,Transfer,Kathryn Holmes,,
10/23/2016,'Suppas Pizza Subs','CHECKCARD 0522 MBCR CMT RL TKT 617-222-3200 MA 24445004143100118611830',28.69,debit,Parking,Maria Valdez,,
3/28/2016,'Indian Basket','CHECKCARD 0523 MBCR CMT RL TKT 617-222-3200 MA 24445004144100207926270',17.9,debit,Transfer,Timothy Bailey,,
10/13/2018,'Dunkin Donuts','CHECKCARD 0525 INDIAN BASKET LOWELL MA 24733094145207718200078',26.45,credit,Transfer,Robin Brennan,,
5/19/2017,'Mbcr Cmt Rl','CHECKCARD 0524 ZIPCAR INC. 866-494-7227 MA 24231914324078',30.92,debit,Parking,Elizabeth Roman,,
12/27/2017,'Indian Basket','Online Banking transfer from SAV 6666 Confirmation# 14152121894',31.94,credit,Coffee Shops,Christopher Jones,,
6/14/2015,'Transfer from Regular Savings','Online Banking transfer from SAV 6666 Confirmation# 14152121894',39.64,debit,Restaurants,Natasha Dorsey,,
8/17/2015,'Suppas Pizza Subs','CHECKCARD 0524 SUPPAS PIZZA & SUBS LOWELL MA 24013394144001716597429',8.65,debit,Rental Car & Taxi,Eric Rose,,
9/25/2015,'Transfer from Regular Savings','CHECKCARD 0524 SUPPAS PIZZA & SUBS LOWELL MA 24013394144001716597429',27.28,debit,Coffee Shops,Nicholas Todd,,
2/11/2018,'Suppas Pizza Subs','CHECKCARD 0523 MBCR CMT RL TKT 617-222-3200 MA 24445004144100207926270',39.98,debit,Coffee Shops,Laura Vasquez,,
12/26/2017,'Mbcr Cmt Rl','CHECKCARD 0524 ZIPCAR INC. 866-494-7227 MA 24231914324078',40.97,debit,Coffee Shops,Matthew Bullock,,
6/25/2018,'Suppas Pizza Subs','CHECKCARD 0523 DUNKIN #306848 Q35 MEDFORD MA 24610434144072022257587',15.82,credit,Restaurants,Stephanie Warner,,
5/15/2015,'Transfer from Regular Savings','CHECKCARD 0524 ZIPCAR INC. 866-494-7227 MA 24231914324078',16.06,credit,Clothing,Kevin Tran,,
4/3/2015,'Dunkin Donuts','CHECKCARD 0522 MBCR CMT RL TKT 617-222-3200 MA 24445004143100118611830',28.19,credit,Clothing,Jordan Oneill,,
10/5/2016,'Mbcr Cmt Rl','MACY'S 310 05/25 #000809807 PURCHASE MACY'S 310 DAN NASHUA NH',27.04,debit,Restaurants,Richard Barnett,,
9/1/2017,'Suppas Pizza Subs','CHECKCARD 0522 MBCR CMT RL TKT 617-222-3200 MA 24445004143100118611830',27.79,credit,Clothing,Julie Gutierrez,,
7/12/2015,'Transfer from Regular Savings','Online Banking transfer from SAV 6666 Confirmation# 14152121894',37.58,credit,Transfer,Mr. Robert Bishop,,
1/29/2018,'Zipcar','CHECKCARD 0523 DUNKIN #306848 Q35 MEDFORD MA 24610434144072022257587',10.82,debit,Transfer,Christina Miller,,
9/21/2015,'Transfer from Regular Savings','CHECKCARD 0522 MBCR CMT RL TKT 617-222-3200 MA 24445004143100118611830',43.4,debit,Rental Car & Taxi,Nicholas Soto,,
1/14/2018,'Transfer from Regular Savings','MACY'S 310 05/25 #000809807 PURCHASE MACY'S 310 DAN NASHUA NH',13.64,debit,Restaurants,Thomas Jacobs,,
4/23/2015,'Transfer from Regular Savings','MACY'S 310 05/25 #000809807 PURCHASE MACY'S 310 DAN NASHUA NH',8.2,credit,Restaurants,Jasmine Harrell,,
7/18/2017,'Transfer from Regular Savings','CHECKCARD 0525 INDIAN BASKET LOWELL MA 24733094145207718200078',31.4,credit,Parking,Austin Munoz,,
7/13/2016,'Zipcar','MACY'S 310 05/25 #000809807 PURCHASE MACY'S 310 DAN NASHUA NH',37.18,debit,Parking,Brandon Ramirez,,
10/1/2018,'Macy's','MACY'S 310 05/25 #000809807 PURCHASE MACY'S 310 DAN NASHUA NH',6.03,debit,Coffee Shops,Jacqueline Thompson,,
6/17/2018,'Macy's','CHECKCARD 0524 ZIPCAR INC. 866-494-7227 MA 24231914324078',24.51,credit,Rental Car & Taxi,Brianna Thomas,,
5/18/2017,'Dunkin Donuts','CHECKCARD 0523 MBCR CMT RL TKT 617-222-3200 MA 24445004144100207926270',42.77,debit,Coffee Shops,Jordan James,,
8/27/2016,'Indian Basket','MACY'S 310 05/25 #000809807 PURCHASE MACY'S 310 DAN NASHUA NH',41.55,credit,Rental Car & Taxi,Danielle Johnson,,
5/10/2015,'Suppas Pizza Subs','CHECKCARD 0524 ZIPCAR INC. 866-494-7227 MA 24231914324078',34.66,credit,Clothing,William Clark,,
6/14/2016,'Zipcar','CHECKCARD 0522 MBCR CMT RL TKT 617-222-3200 MA 24445004143100118611830',34.42,credit,Transfer,Theresa Gomez,,
12/4/2018,'Dunkin Donuts','CHECKCARD 0523 DUNKIN #306848 Q35 MEDFORD MA 24610434144072022257587',34.03,credit,Transfer,Susan Smith,,
8/10/2017,'Mbcr Cmt Rl','Online Banking transfer from SAV 6666 Confirmation# 14152121894',28.86,debit,Coffee Shops,Shelia Lopez,,
8/25/2017,'Macy's','CHECKCARD 0524 SUPPAS PIZZA & SUBS LOWELL MA 24013394144001716597429',28.06,debit,Coffee Shops,Shaun Gregory,,
1/10/2016,'Dunkin Donuts','MACY'S 310 05/25 #000809807 PURCHASE MACY'S 310 DAN NASHUA NH',12.51,debit,Coffee Shops,Caitlin Browning,,
10/30/2017,'Suppas Pizza Subs','MACY'S 310 05/25 #000809807 PURCHASE MACY'S 310 DAN NASHUA NH',3.56,credit,Transfer,Scott Nelson,,
6/11/2016,'Macy's','CHECKCARD 0523 DUNKIN #306848 Q35 MEDFORD MA 24610434144072022257587',13.94,credit,Rental Car & Taxi,Kevin Mcmahon,,
4/3/2017,'Macy's','CHECKCARD 0524 SUPPAS PIZZA & SUBS LOWELL MA 24013394144001716597429',26.9,debit,Transfer,Devin Jordan,,
5/22/2018,'Mbcr Cmt Rl','CHECKCARD 0525 INDIAN BASKET LOWELL MA 24733094145207718200078',18.97,credit,Restaurants,Derrick Vincent,,
9/23/2015,'Zipcar','Online Banking transfer from SAV 6666 Confirmation# 14152121894',35.39,debit,Coffee Shops,Sarah Webb,,
1/14/2015,'Zipcar','MACY'S 310 05/25 #000809807 PURCHASE MACY'S 310 DAN NASHUA NH',33.88,debit,Clothing,Neil Padilla,,
8/19/2018,'Transfer from Regular Savings','CHECKCARD 0525 INDIAN BASKET LOWELL MA 24733094145207718200078',12.88,credit,Rental Car & Taxi,Bradley Rogers,,
2/9/2017,'Dunkin Donuts','CHECKCARD 0523 DUNKIN #306848 Q35 MEDFORD MA 24610434144072022257587',16.76,credit,Parking,Patricia Holt,,
1/24/2017,'Mbcr Cmt Rl','CHECKCARD 0522 MBCR CMT RL TKT 617-222-3200 MA 24445004143100118611830',15.73,debit,Rental Car & Taxi,Tracie Levy,,
12/12/2015,'Macy's','CHECKCARD 0524 ZIPCAR INC. 866-494-7227 MA 24231914324078',47.72,credit,Restaurants,Monique Peterson,,
5/30/2016,'Suppas Pizza Subs','CHECKCARD 0525 INDIAN BASKET LOWELL MA 24733094145207718200078',37.78,credit,Parking,Lauren Hansen,,
8/26/2017,'Mbcr Cmt Rl','CHECKCARD 0523 MBCR CMT RL TKT 617-222-3200 MA 24445004144100207926270',44.69,credit,Transfer,Michael Thompson,,
8/24/2017,'Zipcar','CHECKCARD 0525 INDIAN BASKET LOWELL MA 24733094145207718200078',32.77,debit,Transfer,Joseph Adams,,
6/16/2016,'Zipcar','CHECKCARD 0524 ZIPCAR INC. 866-494-7227 MA 24231914324078',46.57,credit,Clothing,Brittney Galloway,,
1/9/2016,'Dunkin Donuts','CHECKCARD 0523 MBCR CMT RL TKT 617-222-3200 MA 24445004144100207926270',9.03,debit,Restaurants,Dan Yang,,
1/8/2018,'Dunkin Donuts','CHECKCARD 0522 MBCR CMT RL TKT 617-222-3200 MA 24445004143100118611830',13.21,credit,Parking,Christine Harrison,,
4/16/2018,'Indian Basket','CHECKCARD 0522 MBCR CMT RL TKT 617-222-3200 MA 24445004143100118611830',19.94,debit,Parking,Brandy Jones,,
3/14/2017,'Suppas Pizza Subs','CHECKCARD 0523 MBCR CMT RL TKT 617-222-3200 MA 24445004144100207926270',19.55,credit,Rental Car & Taxi,Alyssa Myers,,
7/2/2018,'Indian Basket','CHECKCARD 0524 ZIPCAR INC. 866-494-7227 MA 24231914324078',11.02,debit,Parking,Angela Clements,,
8/16/2015,'Macy's','CHECKCARD 0525 INDIAN BASKET LOWELL MA 24733094145207718200078',24.36,credit,Parking,Katherine Perez,,
1/3/2017,'Mbcr Cmt Rl','CHECKCARD 0522 MBCR CMT RL TKT 617-222-3200 MA 24445004143100118611830',21.85,credit,Clothing,Stacey Williams,,
8/13/2015,'Indian Basket','CHECKCARD 0523 DUNKIN #306848 Q35 MEDFORD MA 24610434144072022257587',40.47,credit,Rental Car & Taxi,Karen Roberts,,
5/5/2018,'Dunkin Donuts','CHECKCARD 0523 DUNKIN #306848 Q35 MEDFORD MA 24610434144072022257587',16.88,debit,Restaurants,Victor Leonard,,
5/7/2018,'Transfer from Regular Savings','CHECKCARD 0523 MBCR CMT RL TKT 617-222-3200 MA 24445004144100207926270',3.51,debit,Clothing,Brittany Mccullough,,
3/20/2018,'Indian Basket','CHECKCARD 0524 ZIPCAR INC. 866-494-7227 MA 24231914324078',20.93,debit,Clothing,Jennifer Hicks,,
8/22/2016,'Zipcar','CHECKCARD 0524 ZIPCAR INC. 866-494-7227 MA 24231914324078',38.09,credit,Rental Car & Taxi,Renee Gomez,,
5/5/2017,'Transfer from Regular Savings','CHECKCARD 0524 ZIPCAR INC. 866-494-7227 MA 24231914324078',41.39,credit,Restaurants,Amy Pacheco,,
3/10/2015,'Indian Basket','CHECKCARD 0525 INDIAN BASKET LOWELL MA 24733094145207718200078',42.83,credit,Transfer,Edward Roman,,
3/6/2016,'Transfer from Regular Savings','CHECKCARD 0524 ZIPCAR INC. 866-494-7227 MA 24231914324078',13.49,debit,Clothing,Kimberly Garza,,
8/23/2015,'Suppas Pizza Subs','CHECKCARD 0525 INDIAN BASKET LOWELL MA 24733094145207718200078',11.84,debit,Clothing,Teresa Flores,,
2/3/2016,'Macy's','CHECKCARD 0522 MBCR CMT RL TKT 617-222-3200 MA 24445004143100118611830',41.62,credit,Restaurants,Caroline Jones,,
3/27/2017,'Zipcar','CHECKCARD 0522 MBCR CMT RL TKT 617-222-3200 MA 24445004143100118611830',8.85,credit,Clothing,Courtney Vasquez,,
10/17/2018,'Macy's','CHECKCARD 0523 MBCR CMT RL TKT 617-222-3200 MA 24445004144100207926270',8.71,credit,Rental Car & Taxi,Karen Fitzgerald,,
6/13/2016,'Dunkin Donuts','CHECKCARD 0523 DUNKIN #306848 Q35 MEDFORD MA 24610434144072022257587',19.45,debit,Transfer,Jose Romero,,
5/4/2016,'Dunkin Donuts','MACY'S 310 05/25 #000809807 PURCHASE MACY'S 310 DAN NASHUA NH',18.62,debit,Rental Car & Taxi,Danielle Davis,,
5/21/2015,'Indian Basket','CHECKCARD 0524 ZIPCAR INC. 866-494-7227 MA 24231914324078',28.93,debit,Parking,Julia Hamilton,,
5/6/2015,'Macy's','Online Banking transfer from SAV 6666 Confirmation# 14152121894',3.34,debit,Parking,Alyssa Caldwell,,
6/14/2015,'Mbcr Cmt Rl','CHECKCARD 0525 INDIAN BASKET LOWELL MA 24733094145207718200078',20.85,credit,Restaurants,Jasmine Taylor,,
10/24/2015,'Indian Basket','CHECKCARD 0522 MBCR CMT RL TKT 617-222-3200 MA 24445004143100118611830',30.32,credit,Coffee Shops,Kirk Bentley,,
1/27/2016,'Suppas Pizza Subs','CHECKCARD 0524 ZIPCAR INC. 866-494-7227 MA 24231914324078',42.31,credit,Parking,Chad Moody,,
7/29/2015,'Zipcar','Online Banking transfer from SAV 6666 Confirmation# 14152121894',26.52,debit,Parking,Albert Allen,,
10/17/2018,'Macy's','CHECKCARD 0523 MBCR CMT RL TKT 617-222-3200 MA 24445004144100207926270',38.8,credit,Restaurants,Jason Walker,,
10/1/2015,'Mbcr Cmt Rl','CHECKCARD 0524 ZIPCAR INC. 866-494-7227 MA 24231914324078',39.81,credit,Clothing,Elijah Carr,,
4/4/2015,'Macy's','MACY'S 310 05/25 #000809807 PURCHASE MACY'S 310 DAN NASHUA NH',16.81,credit,Parking,Katherine Dixon,,
7/17/2016,'Mbcr Cmt Rl','CHECKCARD 0522 MBCR CMT RL TKT 617-222-3200 MA 24445004143100118611830',45.87,debit,Restaurants,Krystal Lopez,,
8/3/2016,'Dunkin Donuts','CHECKCARD 0524 SUPPAS PIZZA & SUBS LOWELL MA 24013394144001716597429',22.32,debit,Coffee Shops,Kristopher Holt,,
10/22/2018,'Suppas Pizza Subs','CHECKCARD 0523 DUNKIN #306848 Q35 MEDFORD MA 24610434144072022257587',40.66,credit,Coffee Shops,Albert Wu,,
5/23/2016,'Indian Basket','CHECKCARD 0522 MBCR CMT RL TKT 617-222-3200 MA 24445004143100118611830',27.68,debit,Clothing,Gabrielle Simon,,
8/11/2018,'Macy's','CHECKCARD 0524 SUPPAS PIZZA & SUBS LOWELL MA 24013394144001716597429',13.58,debit,Clothing,Diana Mcbride,,
1/28/2017,'Transfer from Regular Savings','CHECKCARD 0524 SUPPAS PIZZA & SUBS LOWELL MA 24013394144001716597429',32.15,debit,Clothing,Amanda Flores,,
1/5/2015,'Macy's','CHECKCARD 0524 ZIPCAR INC. 866-494-7227 MA 24231914324078',43.55,credit,Rental Car & Taxi,John Jenkins,,
7/25/2017,'Dunkin Donuts','CHECKCARD 0523 MBCR CMT RL TKT 617-222-3200 MA 24445004144100207926270',14.68,debit,Clothing,Jimmy Franklin DDS,,
7/20/2015,'Zipcar','CHECKCARD 0523 DUNKIN #306848 Q35 MEDFORD MA 24610434144072022257587',43.12,debit,Transfer,Patricia Sawyer,,
8/5/2017,'Macy's','CHECKCARD 0524 SUPPAS PIZZA & SUBS LOWELL MA 24013394144001716597429',42.81,credit,Clothing,Kristin Martinez,,
7/12/2017,'Mbcr Cmt Rl','CHECKCARD 0524 ZIPCAR INC. 866-494-7227 MA 24231914324078',25.51,debit,Restaurants,Dawn Hines,,
10/16/2017,'Zipcar','MACY'S 310 05/25 #000809807 PURCHASE MACY'S 310 DAN NASHUA NH',39.52,credit,Coffee Shops,Sheila Smith,,
2/19/2017,'Transfer from Regular Savings','CHECKCARD 0523 DUNKIN #306848 Q35 MEDFORD MA 24610434144072022257587',45.99,debit,Coffee Shops,Eduardo Carroll,,
1/24/2015,'Transfer from Regular Savings','CHECKCARD 0523 DUNKIN #306848 Q35 MEDFORD MA 24610434144072022257587',24.12,credit,Parking,Mr. Aaron Glover,,
7/20/2018,'Mbcr Cmt Rl','MACY'S 310 05/25 #000809807 PURCHASE MACY'S 310 DAN NASHUA NH',31.57,debit,Coffee Shops,Matthew Johnson,,
7/5/2016,'Macy's','CHECKCARD 0525 INDIAN BASKET LOWELL MA 24733094145207718200078',38.02,debit,Clothing,Jason Mendoza,,
7/18/2017,'Transfer from Regular Savings','Online Banking transfer from SAV 6666 Confirmation# 14152121894',42.86,debit,Restaurants,Kimberly Moreno MD,,
4/3/2018,'Macy's','MACY'S 310 05/25 #000809807 PURCHASE MACY'S 310 DAN NASHUA NH',2.66,debit,Clothing,Curtis Castillo,,
2/28/2016,'Indian Basket','CHECKCARD 0522 MBCR CMT RL TKT 617-222-3200 MA 24445004143100118611830',17.07,debit,Restaurants,Daniel Freeman,,
8/6/2017,'Zipcar','MACY'S 310 05/25 #000809807 PURCHASE MACY'S 310 DAN NASHUA NH',15.62,credit,Clothing,Julia Oconnor,,
2/10/2016,'Macy's','CHECKCARD 0524 ZIPCAR INC. 866-494-7227 MA 24231914324078',19.24,debit,Rental Car & Taxi,Steven Crosby,,
9/14/2016,'Zipcar','CHECKCARD 0525 INDIAN BASKET LOWELL MA 24733094145207718200078',22.66,credit,Parking,Alexander Pearson,,
1/9/2015,'Macy's','CHECKCARD 0525 INDIAN BASKET LOWELL MA 24733094145207718200078',29.28,debit,Restaurants,Steven Taylor,,
8/4/2018,'Zipcar','CHECKCARD 0524 SUPPAS PIZZA & SUBS LOWELL MA 24013394144001716597429',47.14,debit,Parking,Elizabeth Stevens,,
11/1/2016,'Mbcr Cmt Rl','MACY'S 310 05/25 #000809807 PURCHASE MACY'S 310 DAN NASHUA NH',22.15,credit,Coffee Shops,Morgan Calderon,,
2/6/2015,'Dunkin Donuts','MACY'S 310 05/25 #000809807 PURCHASE MACY'S 310 DAN NASHUA NH',16.64,debit,Parking,Joshua Dalton,,
2/24/2017,'Macy's','Online Banking transfer from SAV 6666 Confirmation# 14152121894',16.59,credit,Transfer,Ronald West,,
12/18/2017,'Dunkin Donuts','CHECKCARD 0523 MBCR CMT RL TKT 617-222-3200 MA 24445004144100207926270',45.37,credit,Rental Car & Taxi,Troy Campbell,,
4/15/2015,'Suppas Pizza Subs','CHECKCARD 0522 MBCR CMT RL TKT 617-222-3200 MA 24445004143100118611830',22.59,debit,Rental Car & Taxi,Claudia Moore,,
5/28/2018,'Indian Basket','CHECKCARD 0522 MBCR CMT RL TKT 617-222-3200 MA 24445004143100118611830',36.2,credit,Clothing,Michelle Rodriguez,,
1/7/2015,'Suppas Pizza Subs','CHECKCARD 0523 DUNKIN #306848 Q35 MEDFORD MA 24610434144072022257587',31.97,credit,Coffee Shops,Ricky Bentley,,
3/7/2017,'Mbcr Cmt Rl','Online Banking transfer from SAV 6666 Confirmation# 14152121894',44.98,debit,Coffee Shops,Kelly Barr,,
5/8/2016,'Zipcar','CHECKCARD 0524 SUPPAS PIZZA & SUBS LOWELL MA 24013394144001716597429',25.34,credit,Parking,Caleb Weeks,,
9/6/2015,'Zipcar','MACY'S 310 05/25 #000809807 PURCHASE MACY'S 310 DAN NASHUA NH',41.81,credit,Coffee Shops,Tyler Reed,,
7/22/2017,'Suppas Pizza Subs','CHECKCARD 0524 ZIPCAR INC. 866-494-7227 MA 24231914324078',14.13,debit,Restaurants,Joel Hansen,,
12/30/2017,'Indian Basket','CHECKCARD 0522 MBCR CMT RL TKT 617-222-3200 MA 24445004143100118611830',11.95,debit,Parking,Dylan Johnson,,
